Title,Year_released,media_type,theme
The Phantom Planet,1961,film,aliens
The Phantom Planet,1961,film,space_opera
La Jetée,1962,film,apocalyptic
La Jetée,1962,film,time_travel
Panic in Year Zero!,1962,film,apocalyptic
Panic in Year Zero!,1962,film,dystopia
Journey to the Seventh Planet,1962,film,aliens
Journey to the Seventh Planet,1962,film,space_opera
The Day of the Triffids,1963,film,aliens
Ikarie XB 1,1963,film,aliens
Ikarie XB 1,1963,film,robots
Ikarie XB 1,1963,film,space_opera
"Ghidorah, the Three-Headed Monster",1964,film,aliens
The Last Man on Earth,1964,film,apocalyptic
First Men in the Moon,1964,film,aliens
First Men in the Moon,1964,film,space_opera
The Time Travelers,1964,film,time_travel
The Earth Dies Screaming,1964,film,aliens
The Earth Dies Screaming,1964,film,apocalyptic
The Earth Dies Screaming,1964,film,robots
The Creeping Terror,1964,film,aliens
Santa Claus Conquers the Martians,1964,film,robots
Santa Claus Conquers the Martians,1964,film,space_opera
Invasion of Astro-Monster,1965,film,aliens
Alphaville,1965,film,dystopia
Dr. Who and the Daleks,1965,film,time_travel
The Satan Bug,1965,film,apocalyptic
Planet of the Vampires,1965,film,apocalyptic
Planet of the Vampires,1965,film,space_opera
Dr. Goldfoot and the Bikini Machine,1965,film,robots
Dr. Goldfoot and the Girl Bombs,1966,film,robots
Fahrenheit 451,1966,film,dystopia
Fantastic Voyage,1966,film,military
Daleks' Invasion Earth: 2150 A.D.,1966,film,aliens
Daleks' Invasion Earth: 2150 A.D.,1966,film,time_travel
Quatermass and the Pit,1967,film,space_opera
Night of the Big Heat,1967,film,aliens
Electronic Labyrinth: THX 1138 4EB,1967,film,dystopia
2001: A Space Odyssey,1968,film,robots
2001: A Space Odyssey,1968,film,space_opera
Planet of the Apes,1968,film,dystopia
Planet of the Apes,1968,film,space_opera
Planet of the Apes,1968,film,time_travel
Night of the Living Dead,1968,film,apocalyptic
Destroy All Monsters,1968,film,aliens
The Green Slime,1968,film,aliens
The Green Slime,1968,film,space_opera
Gamera vs. Viras,1968,film,aliens
"Je T'Aime, Je T'Aime",1968,film,time_travel
"Goké, Body Snatcher from Hell",1968,film,aliens
Voyage to the Planet of Prehistoric Women,1968,film,robots
Voyage to the Planet of Prehistoric Women,1968,film,space_opera
Doppelgänger,1969,film,space_opera
The Illustrated Man,1969,film,space_opera
The Bed Sitting Room,1969,film,apocalyptic
The Bed Sitting Room,1969,film,dystopia
Gamera vs. Guiron,1969,film,aliens
Gamera vs. Guiron,1969,film,space_opera
Beneath the Planet of the Apes,1970,film,dystopia
Colossus: The Forbin Project,1970,film,robots
Space Amoeba,1970,film,space_opera
A Clockwork Orange,1971,film,dystopia
The Andromeda Strain,1971,film,aliens
The Andromeda Strain,1971,film,apocalyptic
Escape from the Planet of the Apes,1971,film,dystopia
Escape from the Planet of the Apes,1971,film,space_opera
Escape from the Planet of the Apes,1971,film,time_travel
THX 1138,1971,film,dystopia
The Omega Man,1971,film,apocalyptic
The Omega Man,1971,film,dystopia
Godzilla vs. Hedorah,1971,film,aliens
Gamera vs. Zigra,1971,film,aliens
Gamera vs. Zigra,1971,film,space_opera
Solaris,1972,film,space_opera
Conquest of the Planet of the Apes,1972,film,dystopia
Silent Running,1972,film,dystopia
Silent Running,1972,film,robots
Silent Running,1972,film,space_opera
Slaughterhouse-Five,1972,film,time_travel
Godzilla vs. Gigan,1972,film,aliens
Z.P.G.,1972,film,dystopia
Z.P.G.,1972,film,robots
Beware! The Blob,1972,film,aliens
Soylent Green,1973,film,dystopia
Westworld,1973,film,robots
Battle for the Planet of the Apes,1973,film,apocalyptic
Battle for the Planet of the Apes,1973,film,dystopia
The Crazies,1973,film,apocalyptic
Sleeper,1973,film,dystopia
Sleeper,1973,film,robots
Fantastic Planet,1973,film,aliens
Fantastic Planet,1973,film,dystopia
Fantastic Planet,1973,film,space_opera
Godzilla vs. Megalon,1973,film,aliens
Godzilla vs. Megalon,1973,film,robots
Invasion of the Bee Girls,1973,film,aliens
Tales That Witness Madness,1973,film,time_travel
The Six Million Dollar Man,1973,film,robots
Zardoz,1974,film,dystopia
Dark Star,1974,film,robots
Dark Star,1974,film,space_opera
Flesh Gordon,1974,film,space_opera
Godzilla vs. Mechagodzilla,1974,film,aliens
Godzilla vs. Mechagodzilla,1974,film,robots
The Living Dead at Manchester Morgue,1974,film,apocalyptic
Death Race 2000,1975,film,dystopia
Terror of Mechagodzilla,1975,film,aliens
The Stepford Wives,1975,film,robots
Shivers,1975,film,apocalyptic
Rollerball,1975,film,dystopia
A Boy and His Dog,1975,film,apocalyptic
A Boy and His Dog,1975,film,dystopia
The Super Inframan,1975,film,robots
The Ultimate Warrior,1975,film,apocalyptic
The Ultimate Warrior,1975,film,dystopia
Logan's Run,1976,film,apocalyptic
Logan's Run,1976,film,dystopia
Logan's Run,1976,film,robots
Futureworld,1976,film,robots
The Man Who Fell to Earth,1976,film,aliens
The Man Who Fell to Earth,1976,film,dystopia
Star Wars,1977,film,robots
Star Wars,1977,film,space_opera
Close Encounters of the Third Kind,1977,film,aliens
Eraserhead,1977,film,alternate_universe
Capricorn One,1977,film,space_opera
Demon Seed,1977,film,robots
Damnation Alley,1977,film,apocalyptic
Wizards,1977,film,apocalyptic
Wizards,1977,film,robots
Shock Waves,1977,film,apocalyptic
Tomorrow I'll Wake Up and Scald Myself with Tea,1977,film,time_travel
Dawn of the Dead,1978,film,apocalyptic
Invasion of the Body Snatchers,1978,film,aliens
The Swarm,1978,film,military
The Star Wars Holiday Special,1978,film,space_opera
Battlestar Galactica,1978,film,space_opera
The Cat from Outer Space,1978,film,aliens
Warlords of Atlantis,1978,film,aliens
Starcrash,1978,film,space_opera
KISS Meets the Phantom of the Park,1978,film,robots
Sgt. Pepper's Lonely Hearts Club Band,1978,film,robots
Laserblast,1978,film,aliens
Laserblast,1978,film,space_opera
Alien,1979,film,aliens
Alien,1979,film,dystopia
Alien,1979,film,robots
Alien,1979,film,space_opera
Stalker,1979,film,aliens
Mad Max,1979,film,apocalyptic
Mad Max,1979,film,dystopia
Star Trek: The Motion Picture,1979,film,robots
Star Trek: The Motion Picture,1979,film,space_opera
Moonraker,1979,film,space_opera
The Black Hole,1979,film,apocalyptic
The Black Hole,1979,film,robots
The Black Hole,1979,film,space_opera
The Gendarme and the Creatures from Outer Space,1979,film,aliens
The Gendarme and the Creatures from Outer Space,1979,film,robots
Time After Time,1979,film,time_travel
The Sheriff and the Satellite Kid,1979,film,aliens
Dead Mountaineer's Hotel,1979,film,robots
Buck Rogers in the 25th Century,1979,film,robots
Buck Rogers in the 25th Century,1979,film,space_opera
Buck Rogers in the 25th Century,1979,film,time_travel
The Visitor,1979,film,aliens
Mission Galactica: The Cylon Attack,1979,film,aliens
Mission Galactica: The Cylon Attack,1979,film,space_opera
Galaxy Express 999: The Movie,1979,film,robots
Galaxy Express 999: The Movie,1979,film,space_opera
Quintet,1979,film,apocalyptic
Quintet,1979,film,dystopia
The Empire Strikes Back,1980,film,robots
The Empire Strikes Back,1980,film,space_opera
Flash Gordon,1980,film,space_opera
The Final Countdown,1980,film,time_travel
Saturn 3,1980,film,robots
Saturn 3,1980,film,space_opera
Alien 2: On Earth,1980,film,aliens
Alien 2: On Earth,1980,film,space_opera
Battle Beyond the Stars,1980,film,robots
Battle Beyond the Stars,1980,film,space_opera
Doraemon: Nobita's Dinosaur,1980,film,time_travel
The Adventures of the Electronic,1980,film,robots
Nightmare City,1980,film,apocalyptic
Without Warning,1980,film,aliens
Contamination,1980,film,aliens
The Return,1980,film,aliens
Hangar 18,1980,film,aliens
Night of the Zombies,1980,film,apocalyptic
Gamera Super Monster,1980,film,aliens
Death Watch,1980,film,dystopia
The Children,1980,film,apocalyptic
Galaxina,1980,film,aliens
Galaxina,1980,film,robots
Galaxina,1980,film,space_opera
Mad Max 2,1981,film,apocalyptic
Mad Max 2,1981,film,dystopia
Escape from New York,1981,film,apocalyptic
Escape from New York,1981,film,cyberpunk
Escape from New York,1981,film,dystopia
Time Bandits,1981,film,steampunk
Time Bandits,1981,film,time_travel
Galaxy of Terror,1981,film,aliens
Galaxy of Terror,1981,film,space_opera
Mobile Suit Gundam I,1981,film,military
The Cabbage Soup,1981,film,aliens
Inseminoid,1981,film,aliens
The Secret of the Third Planet,1981,film,aliens
Blade Runner,1982,film,cyberpunk
Blade Runner,1982,film,dystopia
Blade Runner,1982,film,robots
The Thing,1982,film,aliens
The Thing,1982,film,space_opera
E.T. the Extra-Terrestrial,1982,film,aliens
Tron,1982,film,dystopia
Star Trek II: The Wrath of Khan,1982,film,space_opera
Turkey Shoot,1982,film,dystopia
Forbidden World,1982,film,space_opera
Time Masters,1982,film,space_opera
Time Masters,1982,film,time_travel
Parasite,1982,film,dystopia
Nightbeast,1982,film,aliens
Space Adventure Cobra,1982,film,space_opera
Xtro,1982,film,aliens
Liquid Sky,1982,film,aliens
The Man Who Saved the World,1982,film,space_opera
Android,1982,film,robots
Android,1982,film,space_opera
Timerider: The Adventure of Lyle Swann,1982,film,time_travel
Return of the Jedi,1983,film,space_opera
Videodrome,1983,film,cyberpunk
Videodrome,1983,film,dystopia
WarGames,1983,film,robots
The Day After,1983,film,apocalyptic
Testament,1983,film,dystopia
Endgame,1983,film,apocalyptic
The Last Battle,1983,film,dystopia
Space Raiders,1983,film,space_opera
The New Barbarians,1983,film,apocalyptic
2019: After the Fall of New York,1983,film,apocalyptic
2019: After the Fall of New York,1983,film,dystopia
2019: After the Fall of New York,1983,film,robots
Prisoners of the Lost Universe,1983,film,alternate_universe
The Deadly Spawn,1983,film,aliens
Escape from the Bronx,1983,film,apocalyptic
The Terminator,1984,film,dystopia
The Terminator,1984,film,military
The Terminator,1984,film,robots
The Terminator,1984,film,time_travel
Dune,1984,film,dystopia
Dune,1984,film,military
Dune,1984,film,space_opera
Dune,1984,film,steampunk
Star Trek III: The Search for Spock,1984,film,space_opera
Nineteen Eighty-Four,1984,film,dystopia
2010,1984,film,space_opera
Sexmission,1984,film,apocalyptic
Sexmission,1984,film,dystopia
The Last Starfighter,1984,film,aliens
The Last Starfighter,1984,film,robots
Starman,1984,film,aliens
Repo Man,1984,film,aliens
The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,film,aliens
The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,film,military
The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,film,time_travel
C.H.U.D.,1984,film,apocalyptic
Electric Dreams,1984,film,robots
The Philadelphia Experiment,1984,film,time_travel
Macross: Do You Remember Love?,1984,film,military
The Ewok Adventure,1984,film,space_opera
Trancers,1984,film,apocalyptic
Trancers,1984,film,time_travel
Runaway,1984,film,robots
Night of the Comet,1984,film,apocalyptic
The Brother from Another Planet,1984,film,aliens
The Ice Pirates,1984,film,military
Rats: Night of Terror,1984,film,apocalyptic
Warriors of the Year 2072,1984,film,dystopia
Night Shadows,1984,film,apocalyptic
Urusei Yatsura: Beautiful Dreamer,1984,film,aliens
Back to the Future,1985,film,time_travel
Brazil,1985,film,dystopia
Brazil,1985,film,steampunk
Lifeforce,1985,film,aliens
Mad Max Beyond Thunderdome,1985,film,apocalyptic
Mad Max Beyond Thunderdome,1985,film,dystopia
The Return of the Living Dead,1985,film,apocalyptic
Enemy Mine,1985,film,aliens
Enemy Mine,1985,film,space_opera
Re-Animator,1985,film,apocalyptic
Cocoon,1985,film,aliens
Angel's Egg,1985,film,dystopia
D.A.R.Y.L.,1985,film,robots
The Stuff,1985,film,apocalyptic
Explorers,1985,film,aliens
Explorers,1985,film,space_opera
The Quiet Earth,1985,film,apocalyptic
Making Contact,1985,film,robots
Warning Sign,1985,film,apocalyptic
Creature,1985,film,aliens
DEFCON-4,1985,film,apocalyptic
DEFCON-4,1985,film,dystopia
My Science Project,1985,film,time_travel
"O-Bi, O-Ba: The End of Civilization",1985,film,apocalyptic
Max Headroom: 20 Minutes into the Future,1985,film,cyberpunk
Zone Troopers,1985,film,aliens
Zone Troopers,1985,film,space_opera
Aliens,1986,film,aliens
Aliens,1986,film,robots
Aliens,1986,film,space_opera
Star Trek IV: The Voyage Home,1986,film,space_opera
Star Trek IV: The Voyage Home,1986,film,time_travel
Short Circuit,1986,film,military
Short Circuit,1986,film,robots
The Transformers: The Movie,1986,film,robots
Flight of the Navigator,1986,film,aliens
Flight of the Navigator,1986,film,robots
Flight of the Navigator,1986,film,time_travel
Critters,1986,film,aliens
Critters,1986,film,space_opera
Dragon Ball: Curse of the Blood Rubies,1986,film,aliens
From Beyond,1986,film,alternate_universe
Night of the Creeps,1986,film,aliens
Night of the Creeps,1986,film,apocalyptic
Night of the Creeps,1986,film,space_opera
Chopping Mall,1986,film,cyberpunk
Chopping Mall,1986,film,robots
Invaders from Mars,1986,film,aliens
Deadly Friend,1986,film,robots
TerrorVision,1986,film,aliens
Momo,1986,film,time_travel
SpaceCamp,1986,film,space_opera
Kin-dza-dza!,1986,film,apocalyptic
Kin-dza-dza!,1986,film,space_opera
Breeders,1986,film,aliens
Fist of the North Star,1986,film,apocalyptic
Biggles,1986,film,time_travel
Hands of Steel,1986,film,apocalyptic
Hands of Steel,1986,film,robots
Eliminators,1986,film,robots
Eliminators,1986,film,time_travel
Solarbabies,1986,film,apocalyptic
Solarbabies,1986,film,dystopia
Dead Man's Letters,1986,film,apocalyptic
Dead End Drive-In,1986,film,dystopia
Predator,1987,film,aliens
Masters of the Universe,1987,film,time_travel
Spaceballs,1987,film,robots
Spaceballs,1987,film,space_opera
RoboCop,1987,film,cyberpunk
RoboCop,1987,film,dystopia
RoboCop,1987,film,robots
The Running Man,1987,film,dystopia
The Hidden,1987,film,aliens
*batteries not included,1987,film,aliens
*batteries not included,1987,film,space_opera
Gandahar,1987,film,robots
Cherry 2000,1987,film,apocalyptic
Cherry 2000,1987,film,dystopia
Cherry 2000,1987,film,robots
Royal Space Force - The Wings of Honneamise,1987,film,alternate_universe
Royal Space Force - The Wings of Honneamise,1987,film,space_opera
The Jetsons Meet the Flintstones,1987,film,robots
The Jetsons Meet the Flintstones,1987,film,space_opera
The Jetsons Meet the Flintstones,1987,film,time_travel
Slave Girls from Beyond Infinity,1987,film,space_opera
Steel Dawn,1987,film,apocalyptic
The Return of the Six-Million-Dollar Man and the Bionic Woman,1987,film,robots
Creepozoids,1987,film,aliens
Creepozoids,1987,film,apocalyptic
Black Magic M-66,1987,film,robots
The Adventure of Denchu-Kozo,1987,film,time_travel
Akira,1988,film,cyberpunk
Akira,1988,film,dystopia
They Live,1988,film,aliens
They Live,1988,film,dystopia
The Blob,1988,film,aliens
The Blob,1988,film,military
My Stepmother Is an Alien,1988,film,aliens
Earth Girls Are Easy,1988,film,aliens
Earth Girls Are Easy,1988,film,space_opera
Critters 2,1988,film,aliens
Critters 2,1988,film,space_opera
Mobile Suit Gundam: Char's Counterattack,1988,film,space_opera
Short Circuit 2,1988,film,robots
Dead Heat,1988,film,apocalyptic
Alien Nation,1988,film,aliens
Appleseed,1988,film,cyberpunk
Not of This Earth,1988,film,aliens
The Brain,1988,film,aliens
Hell Comes to Frogtown,1988,film,apocalyptic
Robowar,1988,film,robots
Zombie Flesh Eaters 2,1988,film,apocalyptic
Zombie Flesh Eaters 2,1988,film,military
Space Mutiny,1988,film,space_opera
The Abyss,1989,film,aliens
Back to the Future Part II,1989,film,alternate_history
Back to the Future Part II,1989,film,time_travel
Star Trek V: The Final Frontier,1989,film,space_opera
Bill & Ted's Excellent Adventure,1989,film,time_travel
Cyborg,1989,film,apocalyptic
Cyborg,1989,film,cyberpunk
Cyborg,1989,film,robots
Tetsuo: The Iron Man,1989,film,cyberpunk
Tetsuo: The Iron Man,1989,film,dystopia
On the Silver Globe,1989,film,space_opera
Neo Tokyo,1989,film,robots
Millennium,1989,film,aliens
Millennium,1989,film,robots
Millennium,1989,film,time_travel
The Blood of Heroes,1989,film,apocalyptic
The Blood of Heroes,1989,film,dystopia
Arena,1989,film,aliens
Arena,1989,film,space_opera
Patlabor: The Movie,1989,film,robots
Communion,1989,film,aliens
C.H.U.D. II: Bud the Chud,1989,film,apocalyptic
A Visitor to a Museum,1989,film,apocalyptic
The Terror Within,1989,film,apocalyptic
Shocking Dark,1989,film,robots
Shocking Dark,1989,film,time_travel
UFO Abduction,1989,film,aliens
Predator 2,1990,film,aliens
Total Recall,1990,film,cyberpunk
Total Recall,1990,film,dystopia
Total Recall,1990,film,space_opera
Back to the Future Part III,1990,film,steampunk
Back to the Future Part III,1990,film,time_travel
RoboCop 2,1990,film,cyberpunk
RoboCop 2,1990,film,robots
Dark Angel,1990,film,aliens
Dragon Ball Z: Bardock - The Father of Goku,1990,film,aliens
Hardware,1990,film,apocalyptic
Hardware,1990,film,cyberpunk
Hardware,1990,film,dystopia
Hardware,1990,film,robots
A Grand Day Out,1990,film,robots
The Handmaid's Tale,1990,film,dystopia
Frankenstein Unbound,1990,film,time_travel
Class of 1999,1990,film,cyberpunk
Class of 1999,1990,film,dystopia
Class of 1999,1990,film,robots
Xtro 2: The Second Encounter,1990,film,aliens
Robot Jox,1990,film,apocalyptic
Robot Jox,1990,film,robots
Spaced Invaders,1990,film,aliens
A Wind Named Amnesia,1990,film,apocalyptic
Alienator,1990,film,robots
Alienator,1990,film,space_opera
The Dark Side of the Moon,1990,film,robots
The Dark Side of the Moon,1990,film,space_opera
Moon 44,1990,film,robots
"Abraxas, Guardian of the Universe",1990,film,aliens
Terminator 2: Judgment Day,1991,film,apocalyptic
Terminator 2: Judgment Day,1991,film,dystopia
Terminator 2: Judgment Day,1991,film,robots
Terminator 2: Judgment Day,1991,film,time_travel
Star Trek VI: The Undiscovered Country,1991,film,space_opera
Dragon Ball Z: Lord Slug,1991,film,aliens
The Rocketeer,1991,film,steampunk
Bill & Ted's Bogus Journey,1991,film,robots
Bill & Ted's Bogus Journey,1991,film,time_travel
Dragon Ball Z: Cooler's Revenge,1991,film,aliens
Critters 3,1991,film,aliens
Delicatessen,1991,film,apocalyptic
Delicatessen,1991,film,dystopia
Godzilla vs. King Ghidorah,1991,film,robots
Godzilla vs. King Ghidorah,1991,film,time_travel
Mannequin Two: On the Move,1991,film,time_travel
964 Pinocchio,1991,film,cyberpunk
964 Pinocchio,1991,film,robots
Trancers II,1991,film,time_travel
Roujin Z,1991,film,cyberpunk
The Borrower,1991,film,aliens
Dead Space,1991,film,apocalyptic
Knight Rider 2000,1991,film,robots
Beastmaster 2: Through the Portal of Time,1991,film,time_travel
Dollman,1991,film,space_opera
"Silent Night, Deadly Night 5: The Toy Maker",1991,film,robots
There's Nothing Out There,1991,film,aliens
Alien³,1992,film,aliens
Alien³,1992,film,dystopia
Alien³,1992,film,robots
Alien³,1992,film,space_opera
Dragon Ball Z: The Return of Cooler,1992,film,aliens
Dragon Ball Z: The Return of Cooler,1992,film,robots
Dragon Ball Z: The Return of Cooler,1992,film,space_opera
Fortress,1992,film,dystopia
Fortress,1992,film,robots
The Lawnmower Man,1992,film,cyberpunk
Nemesis,1992,film,cyberpunk
Nemesis,1992,film,robots
Freejack,1992,film,apocalyptic
Freejack,1992,film,cyberpunk
Freejack,1992,film,dystopia
Freejack,1992,film,time_travel
Split Second,1992,film,cyberpunk
Split Second,1992,film,dystopia
Doctor Mordrid,1992,film,time_travel
Trancers III,1992,film,time_travel
Critters 4,1992,film,aliens
Critters 4,1992,film,space_opera
Tetsuo II: Body Hammer,1992,film,cyberpunk
Mindwarp,1992,film,apocalyptic
Demolition Man,1993,film,cyberpunk
Demolition Man,1993,film,dystopia
RoboCop 3,1993,film,cyberpunk
RoboCop 3,1993,film,dystopia
RoboCop 3,1993,film,robots
Dragon Ball Z: Broly - The Legendary Super Saiyan,1993,film,space_opera
Dragon Ball Z: The History of Trunks,1993,film,dystopia
Dragon Ball Z: The History of Trunks,1993,film,robots
Dragon Ball Z: The History of Trunks,1993,film,time_travel
Coneheads,1993,film,aliens
Teenage Mutant Ninja Turtles III,1993,film,time_travel
Fire in the Sky,1993,film,aliens
Dragon Ball Z: Bojack Unbound,1993,film,aliens
Body Snatchers,1993,film,aliens
Godzilla vs. Mechagodzilla II,1993,film,robots
Cyborg 2,1993,film,apocalyptic
Cyborg 2,1993,film,cyberpunk
Cyborg 2,1993,film,dystopia
Cyborg 2,1993,film,robots
Future Cops,1993,film,time_travel
Battle Angel,1993,film,cyberpunk
Battle Angel,1993,film,dystopia
Battle Angel,1993,film,robots
12:01,1993,film,time_travel
Philadelphia Experiment II,1993,film,time_travel
American Cyborg: Steel Warrior,1993,film,apocalyptic
American Cyborg: Steel Warrior,1993,film,robots
Babylon 5: The Gathering,1993,film,aliens
Gayniggers from Outer Space,1993,film,aliens
Gayniggers from Outer Space,1993,film,space_opera
Stargate,1994,film,space_opera
Star Trek: Generations,1994,film,robots
Star Trek: Generations,1994,film,space_opera
Timecop,1994,film,time_travel
No Escape,1994,film,dystopia
Godzilla vs. SpaceGodzilla,1994,film,robots
The Puppet Masters,1994,film,aliens
The Puppet Masters,1994,film,space_opera
Double Dragon,1994,film,apocalyptic
Phantasm III: Lord of the Dead,1994,film,apocalyptic
Attack of the 50 Ft. Woman,1994,film,aliens
Class of 1999 II: The Substitute,1994,film,cyberpunk
Class of 1999 II: The Substitute,1994,film,dystopia
Class of 1999 II: The Substitute,1994,film,robots
Trancers 4: Jack of Swords,1994,film,time_travel
Twelve Monkeys,1995,film,alternate_history
Twelve Monkeys,1995,film,apocalyptic
Twelve Monkeys,1995,film,cyberpunk
Twelve Monkeys,1995,film,dystopia
Twelve Monkeys,1995,film,time_travel
Ghost in the Shell,1995,film,cyberpunk
Ghost in the Shell,1995,film,dystopia
Ghost in the Shell,1995,film,robots
Judge Dredd,1995,film,apocalyptic
Judge Dredd,1995,film,cyberpunk
Judge Dredd,1995,film,dystopia
Species,1995,film,aliens
Strange Days,1995,film,cyberpunk
Strange Days,1995,film,dystopia
Johnny Mnemonic,1995,film,cyberpunk
Johnny Mnemonic,1995,film,dystopia
Tank Girl,1995,film,dystopia
Memories,1995,film,space_opera
The City of Lost Children,1995,film,dystopia
The City of Lost Children,1995,film,steampunk
Village of the Damned,1995,film,aliens
Virtuosity,1995,film,cyberpunk
Virtuosity,1995,film,robots
Fist of the North Star,1995,film,apocalyptic
Theodore Rex,1995,film,robots
Harrison Bergeron,1995,film,dystopia
Nemesis 2: Nebula,1995,film,apocalyptic
Nemesis 2: Nebula,1995,film,cyberpunk
Nemesis 2: Nebula,1995,film,robots
Independence Day,1996,film,aliens
Independence Day,1996,film,space_opera
Mars Attacks!,1996,film,aliens
Space Jam,1996,film,aliens
Star Trek: First Contact,1996,film,robots
Star Trek: First Contact,1996,film,space_opera
Star Trek: First Contact,1996,film,time_travel
Escape from L.A.,1996,film,apocalyptic
Escape from L.A.,1996,film,dystopia
The Arrival,1996,film,aliens
Barb Wire,1996,film,dystopia
Doctor Who,1996,film,space_opera
Doctor Who,1996,film,time_travel
Lawnmower Man 2: Beyond Cyberspace,1996,film,cyberpunk
Space Truckers,1996,film,military
Hellraiser: Bloodline,1996,film,robots
Project: ALF,1996,film,aliens
Armitage III: Poly Matrix,1996,film,cyberpunk
Armitage III: Poly Matrix,1996,film,robots
Solo,1996,film,robots
Sonic the Hedgehog: The Movie,1996,film,robots
Gamera 2: Attack of Legion,1996,film,aliens
Adrenalin: Fear the Rush,1996,film,apocalyptic
Omega Doom,1996,film,apocalyptic
Omega Doom,1996,film,robots
Vampirella,1996,film,aliens
Mystery Science Theater 3000: The Movie,1996,film,robots
A Walk in Time,1996,film,time_travel
The Fifth Element,1997,film,aliens
The Fifth Element,1997,film,cyberpunk
The Fifth Element,1997,film,dystopia
The Fifth Element,1997,film,military
The Fifth Element,1997,film,robots
The Fifth Element,1997,film,space_opera
Men in Black,1997,film,aliens
Alien Resurrection,1997,film,aliens
Alien Resurrection,1997,film,dystopia
Alien Resurrection,1997,film,robots
Neon Genesis Evangelion: The End of Evangelion,1997,film,apocalyptic
Event Horizon,1997,film,space_opera
Starship Troopers,1997,film,aliens
Starship Troopers,1997,film,dystopia
Starship Troopers,1997,film,military
Starship Troopers,1997,film,space_opera
Gattaca,1997,film,dystopia
Gattaca,1997,film,space_opera
Mimic,1997,film,apocalyptic
Nowhere,1997,film,aliens
Steel,1997,film,military
Leprechaun 4: In Space,1997,film,space_opera
Drive,1997,film,robots
Nirvana,1997,film,cyberpunk
Nirvana,1997,film,dystopia
DNA,1997,film,aliens
Full Metal Yakuza,1997,film,robots
Armageddon,1998,film,space_opera
Dark City,1998,film,alternate_universe
Dark City,1998,film,cyberpunk
Dark City,1998,film,dystopia
The Faculty,1998,film,aliens
Star Trek: Insurrection,1998,film,aliens
Star Trek: Insurrection,1998,film,space_opera
Godzilla,1998,film,military
Sphere,1998,film,aliens
Sphere,1998,film,time_travel
Lost in Space,1998,film,robots
Lost in Space,1998,film,time_travel
Species II,1998,film,apocalyptic
Soldier,1998,film,dystopia
Soldier,1998,film,military
Soldier,1998,film,space_opera
Doraemon: Nobita's Great Adventure in the South Seas,1998,film,time_travel
Phantoms,1998,film,military
Spriggan,1998,film,military
Alien Abduction: Incident in Lake County,1998,film,aliens
Alien Abduction: Incident in Lake County,1998,film,space_opera
Universal Soldier III: Unfinished Business,1998,film,robots
The Second Arrival,1998,film,aliens
Babylon 5: The River of Souls,1998,film,aliens
I Married a Strange Person!,1998,film,military
More,1998,film,dystopia
